29255
_jm^i^ _`
UY PZRSSZRYY_Z
_i^SI`TmK`OL nZZIo[l
nqiKqjQ` bPZO[Kioqjm
MhM n[lT_lfOXUG
bPZOiO OoP`OXUYO
hUPZFLrh_RYPZRYbhJFf bPZOKKKfjF`
nb UE_CELrhSZFJVVOcAOcIVOH[
RTj___ RT_____
ULnYEF_cArhSYmP]CfUIi _TP[Y
b _SI`TrK
$ nN
bP[XfOcfOXfOEjOJF hUPZFLrh_RYPZRYbhJF
O^n[EMQOYZo[J_T_TFfOcUJFfOllUYZjF Xne^Rna
k O^_
_jmKqTP` hUPZFLrh_RYPZRYbhJFf
_SqI`Tr^mj _SII`T
bP bLqjrK
MhM n`OGLgY
_i^SIII`ToII`ToIII`Tm^TPJFbPZFL nbELXhLOA
_^Sb`T bPqj
UPZRYaYLgYHOKK nBoP[
_TP`OJTDULT_l bPJH`OS
_SqI`Tr^mj _SII`T
[F]]f IVnJ
nJF`OEjOYOfoqiK bPqiMjr^jr^jm^i^TP
nZZQOK nq`S_jr`TmKZOK
_TP[XU Ym`[OcUcfOLlU
_iK[SfOcU UPZCbhlT_lfOY
_jm _SIII`TII`Tr
RGT bP[GNfO^RT
$ OUpe\f
bP[LlUllfOcfOc nP[Sl
Ubjh nJF[lldRSUSU
bP^ n
RP[E bP`OXfOSfOE
bP[EXFUSUUEjOJFUL _jmK[l
Ub nqTPGaYLnYOj
dJ_lULlUXf _iK[lTFUcf
UL bPba
U U[aYEbY
nbaYLg `bhXUJfWOGLg
bPJFqS`TmKeU Uob
nJ _S`Tr^TP[cUcfOXUGPZRYLPYE_CaYPZFSXYbqOXUGLPYELrh_FFc
bPbY g\
nqjm^jr^TP[SfOGPZ IUY_Zdcerh_
$ OP
`bPJMqjoI`Tm^PI`TmK`OLTFfOlT_lUXfOlTiFU n[
W $
_SII`T _S`T^SIT
UbjjNh _TP[EXFUXUXU
_TP[XUJ Ym`[OcUcfOLlUJ
`OL UbqOl
[SUENN_B_BUY V
_TPbaYEFHbhLTFUJFfOEjOSU OUp^_iK`OLSUGbqOEjOXUXfO
nJFJFZO[Kf UaYNfnZ
nZZ UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQOi
FVEf nbN\f
_iK[SfOcU UPZCbhlT_lfOY
N [SN__AE_B_Y
_TPb FPqSIIa`TmKJFKbjhUqSfOSUG
U_E UbhGLH
nbLPYE_ $
nqjoI`TrKqiK`OllfO nXUSUSUEMQNOEOrJFfO
bPJFqS`TmKeU Uob
]bJFC _S`TmK
bP[GHO[K[KfjF`OSfOcfO nTP[USkfO
UaYLgYHZjFZ ULgYPZYn
pDb _T
_i^SW _SII`
[ $
bPqiMjr^jr^jm^i^T Oo
bPO _jr^SI`TmKJF
CP[ bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllU
_ $
UP]CPXSSXYbhEMQOXfOX nLLlUJTDfOc^
nJFbbjj VBfYH
bP`OSUXoOXlnUSJ bP[XfOXf
nbNUWj____ RT______
UYZ_Zd_c OYU
_TP`OJTDULT_lf bPJH`OSf
UE_Yn ULgYP]FSXZYn
nCcoULThUlT_lUSfO]JFUc _SI`TrK`OLl
VfNfUYdHN\] Xne^Rnae
EOP U
O $
_TPb ULPL
_S`Tr^ _TPJFj
$ bP[GNfO^RT]
_i^jm _^SI]k`ToII`Tm]
UPZCr UP]FLrh_CaYaY
[SNpFSpFhX [hXXXX
_SIIII bPUo
VQj_rr__ Vj_____
UPXSFHPXYbqOGPXYYZ__dHY_d_____HbhEjOXULlUXULlUJTBfOEjO _K[
[F]]fn IVnJn
n[nGE_ bPbES]
UnE bPbE
MhM n[lT_lfOXUG
nZ UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQ
OoP b`P
_iK[SfOcU UPZCbhlT_lfOY
_SkT^YKbNfO^ O^
OeW]]fY IVnJn
[U RT]
bPbES] UaYS]F_
_SqI`Tr^mjo` _SI`
Z_ nq
EOP U
V]O RT]
$ n[SfOG
_SI` _SqI`Tr^mjo`
g\ bPbY
_TP joI`T^P
bP[_l n[S
_SII`TmK`OlT_T_TT\T kRpk
UEFHaYbh n`OJ_lUkJTDU
UOfn $
_jm^i^TP[JT\lUJT\lfOcfOSUXUSfOYZQ E
O^ U\_Nd
nJFqTP`OS mO
n[JFUEMQHOGLgYbjqO n[
_NIDT O^_jo`T
UL bPba
KTP _iK
RP nZZjFbaY
KTP _iK
UPZCbhlT_lfOYL _iK[SfOcUL
UE IUY_Zdcerh
n[LTT nZZjUF[JT
_jo`Tm^SII` _SqI`Tr^mjo`
[hY OefO^[hXXXXXXXXXXXX
_S`Tr o_jm
c O^
UbjjqOcUc n`OJFfO
_SII_ _SI
RG bP[GNfO^R
bPVFJFW O^bPe
IUY_Zdcerh_Y nJFqjm^TPbaYLHYE_Yn
_j^TP`O _S`TrK[LlfO
bI OU
Ubhc Ym`[OcUcfOLlUJTB
_TP`OJTDULT_lf bPJH`OSf
V ST
$ _TPb
OefO^[hXXXXXXXXXXXXX [hXXXXXXXX
V]O] [F]
$ K
n[Sf bP[_lf
n[llUXU _joKTrK[XfOXfOSU
nbbjjqOcfOcUEMQOJTBfOSUYZo`OllfOX UPZCbhlT_lfOYLTF
SK VfNfUYdH
U EOP
_ZaDKb nJFJF
bPbYdc $
_iKqTPqS`Tm^iKZOKiobaYEF__H ULnYHO[[[fbHOKKioOcUJT\TFfOXf_OG
_TP[XU Ym`[OcUcfOLlU
nbLPYE_ $
nLLlUJTDfOc^f bP`Ocf
Vj]j___ RTj_
bPDO bP`OJT\lUSUXU
nJ b
ne^ qd
bP[cULlfOSf _jmKdLnYn
pnqi^K n
n[Sf bP[_lf
_j _SIII`TII`T
$ UOfn
_iKqS`To`Tm N
n[ `bPJMqjoI`Tm^PI`TmK`OLTFfOlT_lUXfOlTiFU
V]] $
n`OERFULTTDfOYZobPZFSZCLn ULH
nXUSUSUEMQNOEOrJ OoP[LTTDfOLT
OV VfNfUYdHN\
_jr^SII`T UYdSUUU
n[GHOfjF`OJFUG \U
Bj_Y bP`OYZo`OSULT_T
bP[GPXSSZCPXSFHbqOSUSUlTFfO $
_j^TP` _S`TrK[Llf
_jrK`Oc n`OJ_lUkJTD
bPbaY UE_CP
[U RT]
bP $
bP[ _TP[XUL
OUE UE
_BTP _S`To`Tr^TPqTPqjmK[GbjqOXfOEMQOEjOLlUcUcUJFUG
bP`O $
FPqSIIa`TmKJFKbjhUqSfOSUGa bPbLg
n[GPX UEOcJAOHEOX
bPbaY ULY
nqTP`OSfO nZZjUF[JTBU
nqi^ _SIII`TII`Tr^
dR nJFbO
_iK[SfOcU UPZCbhlT_lfOY
bPbES UnES
_TPJF[EMQ OUp^_iK`OLSUGbqOEjOXUXfOEj
n[GPXSL a
baPJFqjm^jo`ToIM`TpII`TrKJFbPZYn UELVrhS]Ynnnn
fjRYPXS_ UP]
bP[cUc nXUSUSUEMQNOEOrJF
bPJF F_SKePK
NRARTM UYdHaY
_jo`Tm^TPbPZ ELnSg
UHZobLnYLgY F
nbbjjhYO[io`OYOfo [i^`jr
O^_j $
OoP`OLTT\lfOJFU dJ_lULlUXfO
p_TPdh`OSU UbjhcUSUJ_lfO
OoPbEHNWj_ [F]j__
n`OJ_lUkJTDU _jrK`OcU
_TPba FPqSIIa`TmKJFKbjhUqSfOSUGa
n[llfOLlUSfOEMQOSfOYOK nq`S_jr`TmKZOK
UYdcArh UnE
V _LIIm`U
$ U
$ R
bPJFJZFZZ OoP`OXUYOf
`E O^
rj _S`Tr^jr^SII`Tr^
bPqi^i^ rj
OMpV n
P _iK
V] T
UELVrhS]Ynnn IUY_Zdcerh_Yn
P]FF ULPYELVVO__
UE_CELrhSZFJVVOcAOcIVOH[ _iKbaYP]C
bPZ nZZjUF[JTBUY
bPUoI _jmKqSII
UYdcArh UnE
_SII`Tr _S`T^SITr
_NID _jmK[YOKijFqjm^S`
_TP`OSfOX n`OEjOEM]OEXTB
UY UNWj__H_
I nqi^T
[SNpFSpFhXXXX [hXXXXXXXSXX
bPbP]DRSfcArhLVrhSXY nb
RTf OoPbXJ
U nZO
bPJeFbMZZ`ZZ ULHYY_ZZ
_SII`ToI`Tm F_SKeP
n[Sf bP[_lf
nqj _
O^R_T RT]]
R RW
[Sp[NpFS_ AN[SUW_AE
U nqi
_jmp n`O
VfNfUYdHN SKN
bPZOioqiK BLBl
nJFqSI`Tm^`OcfOSUJTDfOGLHYOfnJF`OSUYO[f _joII`Tr^SI`ToI`T
VfNfUYdHN SKN
UHZoZZQ bPJFJZFZ
n`OXUJ_lfOXf UbhULlUXfHOX
nqjr^ Z_jr^
bPLOllGfUEL\hF ULPYELVVO_
UYe]RSL _i^iKJFJFJF[GaYEL
bPbP]RS n`OcfOJFfOLlUEXTBUXfOGaoYES]FSaZF_CLgYE
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP UbqOXUGLPYP
_i^SI`TmK`OL nZZIo[l
UE_CP bPbaY
nJFb F
_SII` _S`T^SI
Vj] V]
l $
UE_Ca OUE_Ca
OeUU OoPbEHN
bPbE UnE
bPqi^i^ rj
nLFUFbbh^G _TPbbjqOllfOG
UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQ _SI`TrKZ
UNfbP[XUJTBfOY nZZjUF[JTBUY
n[LTT nZZjUF[JT
Vj [Sp\\
PoP O^_TP
bP`rOGIYPXYLPTYOU UaYN
I nqi^T
neo $
IVnJ [F]]f
bP[GNfO^RT T]
nLLlUJTDfOc^ UP]CPXSSXYbhEMQOXfOX
bb n`OGaYbj
hUPZFLrh_RYPZRYbh bP[XfOcfOXfOEjO
nkOJT\lfOqEFMHE nbESZF
bPe _S`To`Tno`Tr\e
PZRSSZRYY_ZZd ULPYbjhEjOJTDUGYdcAO
OUp [
`bhXUJfWO bP`OLlfOlTTDfOEXFU
bPqTPbN ^K
bPJF M
_i^SI`TmK`OL nZZIo[l
OoP b`P
I _i^S`Tm^iK[GN
[Fj_ RT______
nJ JH
_i^jm _E
_iKqTPqS`Tm^iKZOKiobaYEF__H ULnYHO[[[fbHOKKioOcUJT\TFfOXf_OG
Ym`[OcUcfOLlUJT _TP[XUJT
n[S bP[_l
RT _\KbOfRT
nqi^T I
UP]CLnYLgYbqOLTTDUcUJTDULl n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUll
n bPO
UbhlTFfO TOg
UN ed]]D
$ _\KbOf
Zki nJF`OXf
UPZCbhlT_lfOYL _iK[SfOcUL
[Fj V]O]j_
nJF` bP`OcUDGbq
bPbY _jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaYY
r O^R
nJFqSI`Tm^`OcfOSUJTDfOGLHYOfnJF`OSUYO[ bP[GbqOYZoZO
bPbLP OUE_Ca
$ nN
bPUo _joII`Tr^SI`To
UP]FLrh_CaYa jiK[SlGX
_BTP UYdH
CP[ bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllU
ULgYPZY O^nFabaYLPYPPCES]Ynnnp
nq`S_jr`TmKZO n[llfOLlUSfOEMQOSfOYO
V]S Oe\
_TP`OcUXULT_lUEXFfOcUGN UN\
_TP`OllfOSfOllfOXfOS n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbhS
W $
_\KbOfRT RT
nWb n`OGbjjhJFUllfOEjOcfOGbj
SKN VfNfUYdHN
[S__ [SUE_]U_
bPqiKq OoPJYFqo
nJFJ pnqi^KJ
n`OEMQO n[CT_lU
bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllUX CP[X
T O^
$ E
bPqiMjr^jr^jm^i^T Oo
_joI`To`To _jSa`ToI
nbNUWj_______ Xn`OJ
Oe\fN bPqS`ToaTrKbO
_TP[XUJT Ym`[OcUcfOLlUJT
bPJH`OSfO _TP`OJTDULT_lfO
bPbllYJ _i^TP`OGN\f
I O^
UYdAMcAVVOc UaYEFc
nJFbbjj VBfYH
qV V]fYH
RT] [U
bP`OXfOSfOEM RP[EM
_TP[XfOYO[[fjFqiK Bnq
_SI`TrKZOi UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQOi
_jo`Tm^TPbPZCq bO
_i^TP`OSfOS _j^TP`OX
MORT _jo`Tm^iK`Oll
UaYESZ bPbaY]
[WO O^RT
UE IUY_Zdcerh
[SUE_]U_ [S__
nZOKK[K UbjjNhYO
_joKTrK[XfOXfOS n[llUX
OefO^[hXXXXXXXX [hXXX
bPZOiO OoP`OXUYO
bPqiMjr^jr^jm^i^TP _jr^jrK
nJFqSI`Tm^`OcfOSUJTDfOGLHYOfnJF`OSUYO[ bP[GbqOYZoZO
F_SKeP _SI`Tr^jo`TmKqjr
n`OJFfOfO nqTPe^_jo`ToI`Tr^TP`OlTFfOcU
_jr^iKJFJF[SfOEjO bPO`O
bP[GNfO^RT T]
_jrKqjmK`OXUJFfOSULTFUXfOJFUJ_TFfOSfOXfOGNf nBoP
Rh O^V
nbLPYE_ $
$ OP
bPbP]FFHbhTkfO n[XULTFfOJ_TFfOSfOLlUcfOcUl
nJF` UbJca
UE_CP bPbaY
_SII`Tr^T _S`T^SITr^T
nq _Ji^i^B
bPUoI _jm^SI`To
Ym`[OcUcfOLlU _TP[XU
UEOcJAOHEOXS n[GPXS
nqjr^TP[SUcUXUE XS
bPbYdc M
[SNp\ [SNUE_]_pp
O $
[YQ V
QUbjqOcUSUflTfT\ bP`OYZo`OSULT_
^TiM UNfU
nbHY n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]C
bP`OXfOSfO RP[
GhP OefnqiKJ
UYdc UYdAMcAVVOc
_i^jo`To` $
_^eQ^S`T _joIIII`T
_jr _
OoP bPqiMjr^jr^jm^i^TP
UYdc UYdAMcAVVOc
nJFb bPbY_d__cAOHoQ
RT Vj
bPqjrKeoP[SfOlTFU Zn[aDafOllY]f
o_jm _S`Tr
OUE_ UE_
Uob bPJFqS`TmKeU
UY_Z_ZZd_cAVOH $
n[ dn
b_PbbqOJ_lfOEjOEXFfOEXFf bPZZjFZOfoqTP`
RH [F
l[S n[GHOfjF`OJFUGHZ
bbHO[KK[[fo[cfOLTTDU[DfOEp bP[llfOLT_T_lUlT_lUEXFfOllUJ_T_lUSfOcfOEjOcUJ_TFfOE
bP[LlUllfOcfOcf V_SVTrK`O`J_l
U[aG [SUENN_B_BUY
bPJFJZFZZ UHZoZZQZ
_iKqT _S`T^SITr^T
[Y[ [S_N_]
_\KbOfR R
[S^__BUNUnNN [SUENN_AE
$ UbjhYZjFqT
V]O [F
KFed_ RTj____
_SkT^YKbNfO O
OUE UE
bP[_l n[S
$ _SkT^YKbNf
_TPb FPqSIIa`TmKJFKbjhUqSfOSUG
$ _TPbELVO__c
[Sp[NpFS_ AN[SUW_AE
_j^TP`O _S`TrK[LlfO
bP`OfOGYOm _iKbbhcUEjOG
[SUEUiPDoE_ S[Sp
_\KbOfRT RT
nbo bPb
UaYbhSUXUSfOSfOJTBUGLHYaY UE_CELrhSZFJVVOcAOcIVOH[
ULn ULPY
Vf Vf\f
F nJFb
p_TPdh`OSU UbjhcUSUJ_lfO
n[SfO bP[_lfO
T]] _TP`OJ_lUGOf[F
UYdcArhS] n[nGE_
nbHlZ nZZQZQO[K[fQZ
PZRSSZRYY_Z ULPYY__
$ bP
[Y[ [S_N_]
]UbhJ\F _TPeoP`OEjOc
n[IJf_TTD _TP`OS
UP] baPJFqjm^jo`ToIM`TpII`TrKJFbPZ
_jmK[l bP[EXFUSUUEjOJFUL
_i^T nJFqO
[hXXXXXXXSXX [SNpFSpFhXXXX
_jm^ _SIII`TII`Tr^
Vj [S_N_]_NUoE_YEp[p[__]_Upp\
OoPmqi^bT\bjLgYNU _TP`OEMQOS
UbhcUJT\l\OllfgGaYLYO n`OEMQOlTFUJT\lfOSUcUGaYbjqOcULTTDfOlTFfOEjOGOU
_TP`OcUSUGO _ipOG
Zn[aDafOllY]f bPqjrKeoP[SfOlTFU
MhM U
bPbLg FPqSIIa`TmKJFKbjhUqSfOSUGa
UbqOXUGLPYP n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP
nJFe^UaYaYE V]daj__
VfH UaYPZFSX
$ OUpe\f
V]] oT
bP`OXfOSfOEM LPYHZ
UYdAMcAVVOc UaYEFc
n[SfO bP[_lfO
UYdAMcAVVOc UaYEFc
] [F
UHZoZZQ UY_ZdHdOfUH
$ _TP
UaYPXSSZCELVVrhS]C bPDOG
n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbh _TP`OllfOSfOllfOXfO
bP`OLlfOEjOSf Ym`[OcUcfOLlUJTBf
_TP[XUJT Ym`[OcUcfOLlUJT
U $
nJF[cfObjqOSMQOJFfOSU]SUXOEXT\X bP`OYZo`OSULT_T
bPZOiO _SI`Tr^jmK`OYO[
bP $
_TPqSI`Tr pnqi^
V]] nJFJqTPee_U\U\]p
nbHY n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]C
n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUll bP`OLlfOEjOS
jFN V]
_S`Tr^TPe _omToTmK
[SUENN_AE [S^__BUNUnNN
n`OXUXfO Uq
UHOfQOijFbq jiK[SlGXYO
SbPeqiKeef_jr^TP`OllUcUcUK Ubh
_PY _jr^SI`TmKJF`O
n[SUGEFHYdHbqOEM $
_ _S`Tr^jr^i
_TP`OSUJT\lfOSfOJFUXfOllfOcfO nXUSUSUEMQNOEOrJFfO
nq`S_jr`TmKZ nZZQ
bPJH`OSf _TP`OJTDULT_lf
nqi^[Pcb U
$ n[SUGEFHYdHbqOEM
_SII`Tr^ _S`T^SITr^
bPqj _^Sb`T
[FfN\fn IVnJn
UHZoZZQ UY_ZdHdOfUH
_TP`OJTDULT_l bPJH`OS
UEOcJAOHEO n[GP
bbHO[KK[[fo[cfOLTTDU[DfOEp _TP[E
U[aYEb UP]FLrh_CaYa
n`OGN Ho
n[ idMWo
nJF`O UbJcaO
RT]]fn UVY_ZJ__HZdHS
_jm^SI`To bPUoI
]UbhJ\FU bP`OXU
bPJH`OS _TP`OJTDULT_l
nbESZFS nkOJT\lfOqEFMHES
[S bO
nXUSUSUEMQNOEOrJFf _TP`
UEOcJAOHEO n[GP
bPDO bP`OJT\lUSUXU
[SNpFSpFh [hXXX
UbhGLgY ELnSgC
UPXSFHESZFS]CN iM
_SII`T _
_\KbOfRT RT
[FfN\ T
nbaY mc
_j^TP`OX _i^TPJF`OS
bPJF _jmg
OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnnnn nqjm^jr^TP[SfOGPZY
dJ_lULlUX _iK[lTFUc
_TP joI`T^P
OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn UELVrhS]Y
_i^TPP [FfN
ULnYHO[[[fbHOKKioOcUJT\TFfOXf_OGP _iKqTPqS`Tm^iKZOKiobaYEF__HP
VfNfb Po
[Y VfNfUYdHN\
UE_RSSZF_ _TPbJ_J
_i^ $
bPJFbbqOE [hXYXX
UYdAMcAVVOc UaYEFc
_SII`ToI`TmK F_SKePK
[F]]j___ KFed
nZZjFba OUE_Ca
nq `E_
nJFqTP[XUJF n[CT_l
$ OUpe\f
bP[_lfOll OoPJF`OlTTBfOLl
pnqi^ _TPqSI`Tr
_TP`OJTDULT_lfOLlf bPJH`OSfOLlf
[S__YUp_UU [SUE_]U_
_jm^i^i^T o_[i
_SI`To`To` _i^SW
UE_CaY bPDOG
bP[ nqiK[L
fjRYPXS_ UES]
Ubjh nJF[lldRSUSU
O bP[LlUGN\fNU
`bhXUJfWO bP`OLlfOlTTDfOEXFU
nXUSUSUEMQNOEOrJFf _jr^jmK`
_jrK[ nZZjUF[JTBU
bbj n`OGaYbjj
Zki bPJF`
[S_N_] [Y[
nLLlUJTDfOc^f bP`Ocf
UE_RSSZF_ _TPbJ_J
bP $
bPJeFbMZZ`Z ULHYY_Z
V]]]j Xn`OJ
RT]f O^R_Tf
V]f jFNf
Ub nqTPGaYLnYOj
[ OoPZZobO
[hXXXXXX [Sp[pFhX
n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]Ca Ug
UYdH _BTP
j nbbjhS
_iK[lTFUc dJ_lULlUX
_omToTmK OoPJFqS`TmK[GbhSfOEMQOLTFfOYOfjFe
b _b
UbhYO[[io`OLT bP[J_lfOBSfOLlUXfOSfOL
_SqI`Tr^mjo`To _jo`ToI
_SII_ _jo`To
UE_ OUE_
_SII`ToI`TmK XnR
RT _\KbOfRT
n[llfOLlUSfOEMQOSfOYOK UbjjNhYO
bPZOiOf UHZoZZQZ
_SqI`Tr^mj _SII`T
UPZCbhlT_lfOY _iK[SfOcU
nqiKbNf k
bP[EXT\lfOEXFfOcfOSUlT_TFfOJTBfOlT_l j
`OLlfO UbjjqOcUcfO
_S`TmKJF[cfOJF nCcoULThUlT_lUSfO]JFUc
[Hg [Sp[pFhXXXX
[hXXXX OefO^[hXXXXXXXXX
nbbjjhYO[io`OYOfo [i^`jr
UbhULlUXfHOX n`OXUJ_lfOXf
UP]CLnYLgYbqOLTTDUcUJTDUL nP[S
^K UN
kqT` neo
^TiM UELOHbqOG
V R]YI
n[SUGEFHYdHbqOEM $
bPJFJZFZZ _SI`Tr^jmK`OYO[f
_T $
OoP bPqiMjr^jr^jm^i^TP
hUPZFLrh_RYPZRYbhJ bP`OXfOcUJT\TT\TFUXfOEX
[SN__AE_B_YU [qp\FC
UN iM
nqiK[XUYOKiQZjFQ OoP[GP
[S^__BUNUnNN [SUE_AE
[hXXXXXXXS OefO^[hXXXXXXXXXX
n`OJ_lUkJTD bPqTPJFqjrKJF`OS
nbLPYE_ $
_iK[SfOcULT UPZCbhlT_lfOYLT
nqjm^jr^TP[SfOGP ULgYP]FSX
[hXXXXXXXS [SNpFSpFhXX
bPJeFbMZZ` ULHYY_
Z_jr nqjr
ULgYFcAO UYZ_Zd
U _jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY
nJF`O UbJcaO
TPq _i^
_SqI`Tr^mj _SII`T
_j^TP`O _S`TrK[LlfO
LSbLPYLHYHZo OoPZOKi
AN[SUW_AE [Sp[NpFS_
bPJF _TP_mc
RP U
X $
UYdAMcAVVOc UaYEFc
UPX VfH
_SIII`TII`Tr _jr
n`OGbqOJFfOEjOXfOJFfOXUllUc H\K[X
IS U
q _jo`ToI`TrKe
[Sp[pFhXXXX [hXYX
RT _\KbOfRT
n[S bP[_l
_jrK[ m_i[LlULlfOSfOSUcUSUEX_lfOllfOEMQOXfOEX_QFfOGbqOcULTTBU
[S__YUp_UU [SUE_]U_
bPJH`OSfOLlfO n`OEjOcUXU
Vj V
bP`OJT\lUSUXU bPDO
$ n[SUGEFHYdHbqOEM
_TPgOGBX Ua
ULPYELVVO_ bPLOllGfUEL\hF
RT] V]O
O^ `E
Wo _T
U Tf
[F]]fn VfME
_jrK _K
_SI`Tm^T _Ji^i^BT
n[GHOfjF`OJFUGHZ l[S
bPO _jr^SI`TmKJF
[ $
OefO^[hXXXXXXXXXX [SpFhXXX
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP UbqOXUGLPYP
OoPJFqS`TmK[GbhSfOEMQOLTFfOYOfjFe _omToTmK
_i^SI`TmK`OL nZZIo[l
OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnnn nJFqjm^TPbaYLHYE_Y
OoPbYZdHaYHOKiQZo[S bPHOJ_lfOcUlGfOLlfOJT\lfOSa
b`P OoP
_TP[cfOXfOlTTD [S_YoEh_]__
bPJH`OSf _TP`OJTDULT_lf
OMpV n
Vj V
UY_ZdHdOfUHZ _SI`Tr^jmK`OYO[f
ULP U[aYEb
_jr^ _SIII`TII`Tr^
UaYPZRYNfV G
UaYLPYLnYaYaYE_FLrh_FS]FFH RUm
[SNpFSpFhXXXXX [hYX
bPqTP bLqjrK
_joKTrK[XfOXfOSU n[llUXU
KFed _SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j_______
UYZ_Zd bPLOllGfUEL\hF_
YJLjQ U
_S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW UbqOXUcUEM
_SqI`Tr^mj _SII`T
_Ji^i^BT _SI`Tm^T
_iK[SfOcUL UPZCbhlT_lfOYL
OoP`OXUY bPZOi
[S_NU S[Sp
nqqKeUDP nJFJF
nbN _SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHY
UPX VfH
bP[YZoee R
UPZCbhlT_lfOYLT _iK[SfOcULT
bPJH`OSf _TP`OJTDULT_lf
[SNp OoPqTPbKNWfNf
bP`Ol P`bLlfHXYfOJ_P
_TP[TBfWOl UOfn`OSUXfOJFUJT\TT\TT\lfOSUSfOLT_
V] [WO
n`OSU $
_j^TP`OX _S`TrK[LlfOX
UPHOC UP]CPXSSXYbhEMQOXfOXfOE
nZZjUF[JTB bPJF[llUEjOSfOSfOXfOcfOEXTDUXUlT_T_TFULT_lUc
n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUllfO [S__A
n`OXUX nT[XY]hI
_jSa`ToI _S
bPJeFbMZZ`ZZd _S`To`Tm^TPbaYE_RYaYaYEF_
]UbhJ\F _TPeoP`OEjOc
CP[ bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllU
n_ bP`O
n`OEjOcUXUl _S`]^jo`
joI`T^PJ _TPJ
bPJFqS`TmKeU Uob
_jm^ _SI`Tm^jYo`Tr^TPqS`Tr^
nb ^n
UKUM\ V
_SkT^YKbNfO^R O^R
$ _
bP`OX ]UbhJ\F
UNS] [F
n`OJ_lUkJTDUS _i^SI`TmK`OLlUS
$ _iKbP]FFH
nqS`T O^bPqjoO`
OefO^[hXXXXXXXXXXXX [hXXXXXXXSXX
UEOcJAOHEOXS _jmKJFbE_F
n`OJFULlfOEj n`OJFfOf
[ UN
bPeoP`mOXUjFf OoP[cUcU
OoPJ ULnYcZj
n`OXUGbjjjqOGbqOcfOSfOSUJTBfOXfOcfOl bm
[h [hXXXXXXXXXXXXXXXXXXX
bPUoI` _SII`
$ V]]
hUPZFLrh_RYPZRYbh bP[XfOcfOXfOEjO
UE_CNf_S _SIII`TII`Tr^jo
Ym`[OcUcfOLl _TP[X
VfNfBnUP UYdcArhS
_TP_mcJ _SI`Tr^jmK`OYO[fj
fjRYPXS ULPYE
RT V]j
$ _TP
_TP[XUJT Ym`[OcUcfOLlUJT
_TPgOGBX n`OGLgYa
nZZjUF[J n[LT
K _TPbELVO__
r O^R
joI`T^P n
UP]CLnYLgYbqOLTTDUcUJTDULl n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUll
UE_ ULgYP]FSXZ
RiTj [Fj_
_\KbOfR R
RT]f $
_S`TrK _ldP
_TPb $
bP`rOGIYPXYLPTYOU UaYN
VfYCT O^VfNU
F_SKeP _SI`Tr^jo`TmKqjr
nJF[lldRSUSU Ubjh
$ _TP
[Sp[NpFS_U AN[SUW_AEU
joI`T^P n
bPJF _jmg
ISP UP
UbqOll n`OJFfO
bPee\ $
bEC` $
_S`Tr^jr^i _
UELVrhS]Ynn OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnnnn
V]] $
$ bPqi^
hUPZFLrh_RYPZRYbhJ bP[XfOcfOXfOEjOJ
UbJcaOX nJF`OX
nb nkOJT\lfOqEFMH
PZRSSZRYY_ZZd UYZd
UaYEFc UYdAMcAVVOc
UOWfn IVnJn
bP`OLlfOlTTDfOEXFUGL mcL
UYe]RS _i^iKJFJFJF[GaYE
V]O RT]
O^[F D
OPU U
[F] T
UaYN bP`rOGIYPXYLPTYOU
[SNUE_]_p [SN
_TP[XUJ Ym`[OcUcfOLlUJ
UOWf Vfi
UE_Yn ISP]Ynn
_ZaDKb nJFJF
