25628
FJJ[S\E \]`KW`^L]`SJLUWYedVDeS\EjLejeE
SOR[KT\]`^ReKTfKWe [SeEj
\Ql fYklWmm_WmmmI
$ L
Jk DDIFkhk
Sk\WMoEjeEjgh [FRT
fpLQ \QRWk
JkRp \[a`^a`^LUnSJLUpaHaH
SDedWpLPbG`]TPeEjQd SOHaHahLPeEjQ
UGZNchWG`````oloR]Tod_eFR` UNNKFR]`Tb_ePbG`]`
Jk \
UWKFkLokhR`obr_SSn mLQ\Wg_
FFN\h FNJSe
AKTJk \
J \UXXX\SHg]ijIDUTPTPTPTPTP_T[iA
UP JkGaq[P[Xkhq[Xke[c[aikq[
UVklmW fYDDOLQlmmWW
FN\[CT`^J FJJAJ
AaT^KTfKPlMeE SehkSeE
UG NX\RkRP
^UeX SDDed
FJ\UGZXl \fIlmWm
Jkn^a`^L]`^P`^LhF]O]`SJP`^KTf FJ\H\hRk
A AL]`SB`J
UWGZN A
\[a`^a`^LUnSJLUpaHaHTJJ JkRpTJJ
UX\LbPkP \HHJ[P
SDeF_eWeM FNJSeejQY
S \[LKUNTeF]
[h JLbR``Tg\IDT[i
fc[a`SW`SW`SJJ[ UVkXVDehR`ibFkpP`
SO[J[SW`SJa`SW`SW`^KTFJJJkTRNO \Ha]`^KTFN\]`SW`^P`^KTU
fK SOhdXRpHJ[SrhHId[\g[\W\kFkP
SeS AP`SJLHTJUNX\SeEjE
[Lo fchdITmehjgPTPTPT[i
UGPo[ZTURkYDDeSeEljnhg\g[ [WG`Tg\g[ikPboR]oliPrhg\IDT[ijgPT[
\WGYDDOQnXXR fc[LHT\U
JkWMQobR`THg[S\IOTP [LHgPTPTPTPTP
X\ \UVeFFkKdXRVe
[h]OQT fRPaqP[ZXT
\QckDgVlDEl JkYePlo]klmmWmW
\]`SJP`^K UNVOi
UXXVk\g Se
[F]DOQL\dW Jk
\TJFNJAL \
IJk Jk
FN\HT \]`^TfnSW`G^KTFN
SSO]`^LPR \UWc]`SW`^KT[h]O[KTU
Sehk JkNn^KTZ
fGijc[ ALUG
UPic[ AJ[SJKTSk[XG
FJJAP`^J[^KT AUTFJJ
Aa`^KTfG UN
SDDk\Plg_]G_FeQ]TPghg fpa`^KeSFjj
JkpLhSrhfZ\eaOHTaUPaq[P AKT[dPXkq[P[aq[ic
UWGXkikik [Gea
AKT[ KTSeh
$ FJJXXpHJFJ\HHJ
f r
$ UWRpaH
\hSQTHgPTPTPTPT[\gPT[\Z\F UpWNT
JkGae[ic[ZO fn^KTFJl[KT\HTm\eJU
JkGaq[Xke[P[ JkGZOXP
SDk \QRXU
U FNJAKTAKTqJkVOHH\QTrDEXpT\U
\HT\]` _
UWGZ ATUVp
[PbojZ\R`] SedpqJJkKhX_DOHaUVehjg[idW\j\EjeEjQ
SbhX Jkc[KTFNJ[dGXke[ZlP[aq[ae[Xke[ZX\
I[dLP\ [hkSY
\]` DUWnSJYP`
Jkc[a`SJL]`SW`SJP qDDO]
FNJJkpa`SW`^P`SJJ[^LUpHJUXRVOQT JkKTVDDokTSDg
SWWiP\Ej [LPYEj
\hRFkRpHGJ[PbeQ``] SOhRkc]`^P`^a`SJa`^LhhR]
fGP[Xk \QRpa]`^LUG
FNJFNJ[PloFkc]`S \P`Z
q Seh]DDD
SDDeWeMTb]Oh \Q\D_\
JJAKTAVEhS\j ALhLP
fYk\dlmW [RkKLg\IdPTPTPTPTPTPT[i]OQlmmm
\UVDeP ArXqa`SSJhP
SkXXXp UpaHTJAL[a`^P`SW`^J[SJKTSOHa[KTFJ
\HTJ_ \
FJ\[KT hH
\[a`^KTUNXXPXk [FFkVGUa
VFB] SD
UTPZXWcU \U
UXh_eFj [LH
]UmA \hdPP[aikq[P[aikq[
SDkX SDkRGO
[LHgPTPTPTPT [g\g
fRPic[P[a FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[a
FJJfYk \maQ
JkGiPEc[ZONO S
[RkcQRPP[imc[ [dP
JkGae[ic[Xke fGcXRGae[P[XFq
AKTFNJ\HT\HallS JkKh_O]`^L[LQlWmm
[hFkGiP rZliPE
UpHJAJ[SW`^a` fYOHT[P`
S dS
\ fP`SN`SJKT\
SedNRN Sk\FjZ\jIDTPT[\g[\g[i_DO[KT[Rkc[a`^P`^KTSDkXW
ic[iPEPE SkRGP[Xkq[P[i
UX\SrQTgQikdNTOHa[P`SJP`S JkpJ[S
Jkpa`^LHTL JkcHH
fYOQTSDE\Rkn^a GN\]`SW`^LHa]
\[P`JKfUWokhk [
fG jUGA
[SeEjeEjYEje FN\QXVOhdVOMKTSeSY
F $
fpLQ\SQ`o SedpqJJkKhX_DOHaUVehjg[idW\j\EjeEjQo
UNTe [FjLiFkK
FJJJkRXRXlmmmmm SPOQl
RUGae[iPE UGi
SO[a`^P \]`^GP
\UWWihBN UPXkq[Xke[ZTDeLhj
[RkKF]Dk UWVqDCk
S f
FJ fYOWT
fKhjg[\Z\RTbjIOTPT[i]DOUGZlPEc[ZlP[ZlXke[ic[[iPEc[ae[ JkRG
SeSQ ALUiPP[ae[P[ZNKh]ehR]]
qDDO \
O]`DSW`P`^LQPiPEc UNlic
UX\SrQTgQikdNTOHa[P`SJP Aa
Xm UX
UWpGhhR`]] \hSQ
SDO[KTUNXRNXRNNchhkSQ UGZNchWG`````oloR]Tod_eFR`
JkKdpH\]`^L fcj
Jkn^a`SW`SJKTUNNYDO]`SW` \UWYDOF]`
n [SQ`THW\jIdPT[\g[i
SDDDOhLHW\jIdPT[i]eh_eF LSOHJSD
[hRTb_DOHTJALUpTJAa`SW`^KTfGXke[ fYkXWYQNUGaq[
FN\Ha]`SW`S`W`^^aV`W FJ\]`
[ WfYe
Jkn^a`^L]`^P`^LhF]O]`SJP`^KTf FJ\H\hRk
fn^ Q
AL[J[ FN\hWVnR
ALGiQ_h_D[L^GZX SDDDDeh]O]`^a`^KT[F_kTSDE
XdpVh [
JkGZOXPP SkRPaq
J [FjICYT[VF
UGXke[ZXRPZOWn fc]`[P`
[FjIDT[\gPTPTPTPTPTPT APSW`^KT[LHg[\gPTPTPT
FN\hW \UiP[P[ZNc[KT[Pl
[dPZJNpLHW [Pl
`UpHJfRX f
$ AKTJ
FNJ\QXTrDEXm UVkRXTS
fRVkXVe eAJ[^Lh
UX\SrQTgQikdNTOHa[P`SJP`SW` SkRWRXRVDDO]`^a`SW`
fpa`^a`SW`SJLH kGZOWnSJKTAP`^P``^P`^K
AL[LHaUGae fBGa
\CKYHT FN
[dPZNKLhjqqq [OSjqYq
[dGZNGaq O]`DSW`P`^LQPiPEc
JkcHH Jkpa`^LHTL
Aa FFkRpa]
FJ\LH FNJ[dp
UVOUG JficZP[
FJkHHJUN \[a`^LQX
fYOHJ]`jS JknS
KhSQ [Lg\W\R
Jkn^ \[IKTUVDeh_O]`^
A [
ACP`^KIAa`^a`^KT \[KT
\UPXkD fRPaq[iPEc[aq[Xkikikikq[iPEPEc[ic[ZlXkq[aik
a`SW` FN\]`SW`^P`SW`SW`SJa`
[WG]or UpahS\EjQobr
FNJSDDk\ FJOALUGXke[ZOOpT\UGiPEc[XkikqhPP[aiUkikq[P[ZOWKRkK
c^i FJ\U
[LoU`TI [WeM]]olG`TPYEjrh
JkRPP[ UGZOPaq[kP[
ALHH\]`SJKTJkYOH SO
Sk f
NX\RkRPX UWGP[Xkiki
fRPaqP[ZX [h]OQ
AP`^KTfYOUNXT SeLbkh]Dk
fKhjg[\Z\RTbjIOTPT[i]DOUGZlPEc[ZlP[ZlXke[ic[[iPEc[ae[ic fGP
ALhF]DedPP[Xke[ZTk SO[Lh
\WYklmmmX JkKh_O]`^L[LQlWm
[RQ` UWpL[a`^
fYDOHaUpT\[KT[dG SkdG
AP ALa
fc]`[ JkpJ[SJKTUXXpa]`SW`SJ
\HaUVOQ `UpHJfRXRX
[dPplXk FNJUGa
fP`SN`SJKT FJ
UX\P U`VDDDkXGPEP[c[ZTe]
fn^KTFJl[KT\HTm\eJU \U
n^LQXVO fpa`SW`SJKTAa`^L
$ SGOhdpHJ
[F]OH \U
UNlP[P[ic[ZlP[Xke[Xkq[Xke[X gX
\[a`^a`^LUnSJLUpaHaHTJJkG ALHTJfRGae[
ffnSJL \
FJJAa FN\[CT
^[RUH UNlP[aikq[ZTDkX
A FNJfKhFkRKFkn[SW`^P`^
FJ\]^ AKTJkp
JkYedNlXke[MZO U
[FkPbq gfCl
ep J
SDkXNTgohTS FJJfYOHT\hLP
F\QT fcUXT
ALQ fcHaQRGZTB
fYehjZ\_O FJJ[
FN\ Yn^L
XkpP`SWMSiJJ[^P`^_ UNTeF]DO[a`SJ
FNJUPic[ZNRVDe \UNNKTfK
UGPo[ZTURkYDDeSeEljnhg\g UWYeF]eLHg[\IOTPT
Uh SOh
kRPZTkXPZOXhYkdGQeP \UNNGaikq[ZlXke[Xkq
SO L
UPnXke[P[Xk SDO[LHahdGa
[dKeRkKhkP JkcQ\dVO[J[SJP`SJJ[^KTSDDehkP
UPP[P[X UrX
SeLHgPT[i SDOQ\RkYOhMF
FNJFJJSDOHHJSOHT\]`SW`SW`^ Fn^
\Q\h]e\RkKdXXV FN\UVDDkXVDDD
[LPeEjQo UX\LbPkP
[FRobG FNe\hhRT]]
[SeEjeEjYEje FN\QXVOhdVOMKTSeSY
FJ\[nTJkiOUVeF] S
J DDIFkh
Jkpa`^LHTL JkcHH
F [Pl
FN\]`SJKTJk ak
U [RkKRknSW`SW`^P`^KTf
[Rk HP
kRNlX fGXkq[aikiki
fc]`^J ATA
f k
FJJ\[KT[ UNWK
\lpUHJjgJL fKL
B[KTUVeLb]D SOHTJS
SDOQXUQ U
fKhkPbeQ`]TH FN\QRWKhjIdPTPT[\Z\jgPTPTPT[\gPTPTTL[\X[T[_ehR``TH
SkRPiPEc[ZTDDOhSQTPQolG` FNe\hhRT]]
FNJ\QXTrDEXm UVkRXTS
\QRXU SDk
eTAfe SkXXTckD
UGXke FJ\H\hRkGae
A \UPic[XTkike[aikn[ZOXXpTJAP
J nF
UNTe [FjLiFkK
[ \
UGZNchWG`````oloR]Tod_eFR` UNNKFR]`Tb_ePbG`]`
\U $
\lpUHJjgJLhj FNJAKT[W\jgmjqq
SOhWeQ`oboR]TbR Aa`^P`SW`^Jq[JLhGe
AKgTU FJ\]`^P`^L]`^KTU
[h]ehkFRolaG``]```]olV_ [FkWV_]
UNTk\dPimPEPE \[J[^KT\UGi
$ \U
JkRP UGZOPaq[k
\UpahhjW\jIdPT[\IDTPT[\g[i_DO KTSe
JkRNNc SDk[\RkRNTO
J \UXXX\SHg]ijIDUTPTPTPTPTP_T[iA
UpaQ\R FJ\hRkeKh]OhR
SedNR UGXke[Z
Se`dWRVOCQ\Wo_S fYDePlg_
FNJ UGXke[ZN
SDehkLgikFjg JkpP`^a`^fTUWKPbibjgPTPTPT
[dPXkq[Xke[P[P[P[P[P[a SDedW_LQXGXk
FNJJkcQ \VDkI
AL \]f`SJP`^a`^LHUJ
SedVkRNX UVOQ\Rkn^KTAKTCSk
hFJ\ \
FJ\hRkeKh]Oh UpaQ\
Sk\SYE Aa`SWd`SJa`SW`LUpaQ\Pb\jE
FN\QRVOUWRX\FjIOTPT[i_eLh [JWoeSQoliPrm
Aaq^ AL]`SW`SJ
SedNR SkRNX\dGXkike[ic[P[P[P[Z
J[SJP`SJa`SW`^a`SJa`^K \]`SW`^K
[PbeQ`]olG``TPrho_kXWcUVeWMQ ALUiPP[ae[P[ZNKh]ehR]]
UVOQTSDE\Srh SOhSeEeEjMR]`T
[RkcHTJSOHT\QXXlmmW JkcQRkRPZTklOmm
UXRpHJ\QXNN DDIFkhk
UTPZXWcU \U
JkKLokhkhjIDT[\gPT[i_ FNJQFJJUVDO]`SJKTS
UNNnS LAL[J[S
[RSkpKT[ [
ALQT [ko_p
q[K fpKT[dWpK
[P` Upa]`
FJ\HaUVehkh]eLg\W\]ehR`]] Seh_k\hkU\EjghgiR`
[h]ehjIDTPE^T[ fchLg\Z\jZ\jId[
UPd UPP[aq[P[Xkikq[Xkq[
FJQjPXke[Xkq[X fKFFkGiPEc[P[P[aik
AL] SOH\J`SAP
Ia`^KT[Sr^ [Lo
\QTrDg ^UXTDg
FJJAKT\[ UPPi[ZgIWnJ
f F
Jkpa`^LHTL JkcHH
AKTfpJ[ AO[SW`o
SeLPYEjQTbkSr JkYeRkYOUNOXVhkSeEjr
SDeF_eWeM FNJSeejQY
[dVeFkSYE fKJS\E
FNJ Fb
FJ\HHJJkGZTeP UX\LbPkP
JOQXIXlmmW SklmmmWWWm
FN\QRWKhjIdPTPT[\Z\jgPTPTPT[\gPTPTTL[\X[T[_ehR``TH fKhkPbeQ`]TH
SedGXke fGm
ALHHJ JkpT
SeWeQTPgm \lpUHJjgJLh
UNN JO\M
\UVOHH\ n^LQXVO
FJ\HaPc FJJ\hdGZTO[
[dKeRkKh JkcQ\dVO[J[SJP`SJJ[^KTSDDeh
UPP[ZlXkike[P[Xkq[ZXTVlDTrDg ep`aSQTrDgVkDg
[hl_U f
mNjH FN\H
FJ\[l A
f $
KFN\`^a`^L fYDO
FJkFJS\ FJJ\HHJ
f \]`LHTQm
JcW SkX
[S\EjeEjeEjYEjghPQTg\gPT[\Id[ijIOT[ikP [
SDOQXUQ U
RY AKTUpTJ[Pb
fYO[LQ Xm
FJJUPa gXk
SkXXTckD eTAfe
[PleM SFR
\hkh_ S
[P`^P`SW` Jkn^P`^a`SW`^P`
UVeSeEjQT fKSh
FJJAa`SW`SJKTfYedX\Pl\j JJAKTAVEhS\j
SSD FJ\UVDO[a`SJL]`^P`SW`^KTAP`^KTJkGZNRWY
Upa]` [P`
VkcUD [RkcUGaike[ic
Aa`^KT\] \^
JkGZlP[ UaG
UPp[ic[aq[Xkq^[XkqZla JkGXkik
JQkpP`^P`^ [dpa[a`SJ
Jkn fYOHJ]`j
ALUpa] SOUpT\HM\Ha]`SW`^a
\ fn^KTFJl[KT\HTm\eJ
FJJAa` \^`SW`
V[ SDeS\EjQTbjZ\k
bkYOHTg\]` \]`SJP`SW`SJP`
\VDkI FNJJkcQ
UPP[aike[aq[i fGm[iPE
\UXXWY lSkRpT\[KTfY
UWpGhhR`]]` [Wo]k\dpaQ\F]kRVePbG]
\UGP \Hf\QGkE
FJJUWpP`SW`^LUWSJJ[SJJT FNJ
UPe[e[ic[ JkYkTrDEXXRGP[P[
FJ\UNNGP[Z GkF
JkKpd fR
[FR FNmJJkpKTFSDDDePlM\ejQB`]]TPQ
OH^T[FW [Pb
fGZGaq[ UNOGP[Xkikikike[
FJJAKZETFN\QRVO[KTUGP[ZNGiEPEc[Xkike[i[P[ZTe \UVe
UPXkq[Xke[ZTDeLhj Jkpa`LhLhjq
\Q\hR]`THW\R``oloRTb_DkXXRGZO $
[LoU`TI fYeL
\Q\S\EjeEjrm fKShPgm
[dGZNGaq[ UPp[ic[aq[Xkq^[XkqZl
MVO]`SJFBP SO]`SW
\UpaUGP[P[ic FNJGic
UPZXXX UpWNTk
UXReNlaiknqh[ic[aie[ZTeFkFkPloRThj FNJAKT[W\jgmjqqq
\UPic[XTkike[aikn[ZOXXpTJAP fc[
$ SDkRVOUXT
AKDSDDO]`^KTAKTUVDeWMgmjqqA JkKSgmo
FJJSDeWiHZ\ Z[FW
JkYDO[P`^KTfchRkKS\ I[dLP\
ALQ\P F\[KTSePi
$ fYkTSDET
AKTJkpLQ\PbcToFkRO]`So \[J[S
\hhR]obQMeEnjYEGYEj\EjT fKh_DkXpHJFJJUX\Se
UpT\P` AP`SW`^a`^L]`
AL]`^a`^a UXRVOda[P
\HTJSeFjg[ SeNFR]THZ\jIDTPT
Jk FJ\UWKhk
bkYOHTg\]`S \]`SJP`SW`SJP`S
[dPplX FJJAKTFNJJkRGP[P[P[X
AaF^a`dKTSedPP[oXki SkRPa
Aaq`SW`SJKT\UpaUNNRVOhFqkSeEjghPYEjeEjro_ SDeh]
UWnSJKTFNJfYOUpa \Ua
n^LQXVO \
\PFkk\EojrhH\_UX U
FJ\[nTJkiOUVeF] S
S \Q\h]e\RkKdXXV
OFW\Y]n^KTSk Sk
JkGP[Xkq[P[ZlXk o\UGXPM
PloE\k UX\
JkWMQobR`THg[S\IO fKLbjgPTPT[\IOTPTPTP
UNTeh] qS
AJ[^P`^ Y\HHJA
Seh_ UpWNT
fn^P \D
f S
AKTFNJ\HT\HallSm AP`^a`SW`SJKTSDDkl
iN\HHJSOHH\HT\h FJJSe
\]`SW`^K J[SJP`SJa`SW`^a`SJa`^K
FJJKT\g`SJLHHHJfK JkYDDe
FJJALRUpHJSOYKT[FkRV UNT
UN AAKUGae[aq[Z
UWGXke[ZX\F S
[Fj [LHIOTYN[\
\PFkk\EojrhH\_UX U
[W\j\Ej UWKSkYEjc
FNJS [h_DO[h]edpHJJkY
[RkcUpH\UP S[LbQkRNN]kG
[SQ]TbjZ LkgYBO
FN\]`SW`^P`SW`SW`SJa`S a`SW`S
JkGaq[P[oTeLP\EjYEjQ UPic[ae[ZlZTDeLbR``
SOQ JkGP[ZXT
\]`SJP`SW`^KTSkT SR
SDOQ\RkYOhMF SeLHgPT[i
$ JgnSJg
fRNOWc]` UVkXVDehR`ibFkpP`^P`
APSW`^KT[LHg[\g [FjIDT[\gPTPTPT
UXTr PkTS
fpa`^KeSFjj\ SDDk\Plg_]G_FeQ]TPghg\
ALUNNR GP
[h]ehkFRolaG``]```]olV_] [RkpL]`^LhLo_OhLoRobg_nn
Jkkc[PO fc]`S
_J FJ\HH
[FR]oRbd_F [h]k\W
$ d
Sk OFW\Y]n^KTSk
JkYO[KTFN\]`SJLhWKVVVV [R]TgIOTPT[ikWVVpVVV
SDk\F]O[KTA TAa`SJP`SW`SJ
\QXGP[Xkq[ic[aike[ic[ic[iPEc[ SOPk
JkRVO]`^LUNNn^ SDOH
UXRpHJnf fYOQRW
UVDk\Wlojg[ikdVhkWGToFkTYDeWiPQTPr \hhFkKSg
\HHJJkY FN\[L]`SW`SJLHTUV
fGm[iPEPEP SedGXke[iPEPEP
UWKb [Pb
bkYOHTg\]`S \]`SJP`SW`SJP`S
FJ\Ne \
\HT\U f
SO U
Upa[J \VP`^WKTA`
]d [dN
fG UNNl
FJJJkGZ JkGikikikq[Xkq[Z
FN\[P`^LhPlibFkRGic[P[Xkq[aike[ZNKhkhFkcU AP`^LP[LHVHJU
I[dLP\Ej [hkSYEj
ic[iPE fGP[ZlP[P[iPEPEc[ae[ic[Xkq[i
[hkSYEjr I[dLP\Ejr
SDkRWpL] ALhhkF_edNTO[J[SlaJa`SW`^a`SW`di
oXXNNRGa fpKTFNJFN\UNlXkq[Xkq[P[aq[ae[aq[P[ZXXNlP[Xkik
UPXkq[Xke[ZTDeL AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTDDeL
UpH\UW SDeFFOk
JOQXIXlmmW FJJJkRXRXlmmmmm
eAJ[^LhR UWKhF
fG UGP[Xke[iPEP
\D AKTJkc[P
fnSW`SW`SJ JkYO[h
jg UNliPE
\hdNIO] JkpP
Aa`^LQRfXTS [dVDkTrDTr
Lf Jk
fB [R
FJ\HH\HH UWkcHTC
\fIlm SOQlWm
fYO[P` fg_n
UX\Pb kKF_k\P
FJ\ $
AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTDD UPXkq[Xke[ZTD
SWWiP\Ej [LP
[FFk SDedW_LQX
fKW\j SeSCKaj
AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTDDe UPXkq[Xke[ZTDe
SV S
Q fn^
[dVeFkSYEj\E fKJS\Ej\E
[dNlZXRVDDOhh_klmWWWmm [WiFkRXlYmWQmmP
[LPrhojDT[ikLoE fRNTOh
[ MPZTe
AP [SrhPrho_O]`SJLL]
UGZNchWG`````oloR]Tod_eFR` [hkhR]
SDkXpHJ[hRTHgPTPTP APSW`^KT[LHg[\gPTP
FN\UpT\UVDDeLHgPTPT[\W] Z\UX
SYEj [W
eJkpaLBT fpLUWpKT
bkYOHTg\]`SW` \]`SJP`SW`SJP`SW`
frK \UpTJ[hk
SkRGaq[ZTkRNOGP[Xkikq[Xk \QXGi[Xkq[DP[aik
\UPic[XTkike[aikn[ZOXXpTJAPa` Aa`
fY[KTFON\RPbok [
FNJ\]`mWY [dNNn^P
UNlP[iico[q ALUG
FJ\LH UpT\H
U FNJf
FNJUVO fP`SN`SJKT\
$ SDkXVDeWioRobr
l Jkc[L]`SJKT
UGXk \QRVDOUGic
JJAKTAVEhS\jr FJJAa`SW`SJKTfYedX\Pl\jr
UXReNlaiknqh[ic[aie[ZTeFkFkPlo [SrhHgPTPTPT[i
[LPYE UmTrDED\Pp
JkGic[ic[Xkike[Z [dXXNYlZN_
_J\ \
Sk f
FJJ\[KT[ UNWK
SeRkKWg_SnSFG]Thjq SDeLg\W\_DePlMmj
\hh_OQ\FFkn^a`^L[L[J[S \]`SC`SJPMS
JkWMQobR`THg[S\IOTP \hdWc[KT[LgijgPTP
C[ [
nfRTPSe[ZTklemWmWm UPZXRXlmmmW
\hS [Pl\j\
U f
FJJUX\hjg[i FNJ^F
UXReNlaiknqh[ic[aie[ZTeFkFkPloR [SrhHgPTPTPT[iR
UPZ U
EfYk\dGXkq[q[aqc` SDedNOPP[aike[ZNYedGiPEc[ic[ic[Xkikikq
UGP[Xke[iPEPEP fGEP
UWR JFk
N \UPiP
FNJAKT[W\jgmjq SDeSYEj_gmj
A ]P`
[RkYDOQlWm Skl[GW
FJRHT\[L[K JkGZNn^K
MVO]`SJFBP SO]`SW
XX \Ha
$ FNJAKTAKTqJkVOHH\QTrDEXpT\
a[F SOhh
JkcHH Jkpa`^LHTL
SeS\EjQ]] Sk\LgIDTPTPTPT[\Z\R
fpL[LUG SpUWGZXXXRGZlP[P[Xkq[XkNke[
UpT\CHTJ[SOE SehkSeE
S UWGXke[ZX\F
\hWeM```ob [dpTJFNJAKT\hWW
UXRpHJnfYk \HaQ
f fBk
$ AL]SW`^PKT
$ [Rk
FN\HT \PFkk\EojrhH\_UXpH
AJ[^P`^J Y\HHJAJ
fYOhSQ] lSBEjQ`
fKdNNpKT\HTJFNYJ \[J[^KT\
JkRP UGZOPaq[k
\[KTJkRWYDkRWKLb]eWeMTP \HHJS
\HaHaHH\]`SLHH\[J[^KO F
FN\hSYE UmTrDED\Pp
[h] JLbR``Tg\IDT[i]
FJUDVk\Y fK
J gJ
f g[
JkcQRkRPZTklOmm [RkcHTJSOHT\QXXlmmW
SOUpT\HM\Ha]`SW`^ [Rkc[
fRVkXpa[a`SJ fYkXLNRn^Z
AP ALa
Aa fYOHJ]`jSW
UGZOPaq[kP[ JkRPP[
ASOHaHHJ[LHIDTPT[iRTPrm SePb\jrm
[LgikPb\ \]`KW`^L]`SJLUWYedVDeS\EjLejeE
\QRpHYJFN\HTJFN\HH AKTFN
n^L[L_HT]h fK
FNJ\ FFkRpa
Aa`^P`^P [SrhPrho_O]`SJLL]
UWp UNlaike[Xke[ZOpTHa[P`^
\UpTJ[hk frK
\]`^TfnSW`G^KTFN fRpH
[ Sq
SDG fRVkXX
[AFkn] \]`SJP`^
SkXpT\UGX UrX
UPq[P[ SOUG
SDeLg\Id[\CdPT[\g[iFkc FN\
SDklmWmmmmW FJSklWqmWWWWmmWWWmW
$ paE^KT
S[LbQkRNN]kGZ [RkcUpH\UPZ
JkRVDkRX Q
eP FJ\HH\HT\[L[KTFNJ\HT\hP
SWWiP\Ej [LPYEj
fpLh \^`SW`^LhWg_nFnnSnF\jQTMok
\hSQTHgPTPTPTPT[\gPT[\Z\Fk MZGP[Z
fpLh \^`SW`^LhWg_nFnnSnF\jQTMok
[jPlp`]o [dPXkq[ZTeWGo
\hkh_k UXTrDgrDE
epknS FN\]`S
JkVDeRkRNNG SDO[LHahdG
fpL FJJ[
\Ua fc
JkVDeRkRNNG UVOUG
\[P`JKfUWokh \[KT[h
[FR FNmJJkpKTFSDDDePlM\ejQB`]]TPQ
Aa UX\SrQTgQikdNTOHa[P`SJP
SOQ\SQT [PiR
AP`^PO`SW`SW` Aa`
GN\]`SW`^LHa]`^ Aa`^a`SJa`SW`SW`^
U\ fcUNNc
AiKDO[P`SW` SDO]`
[Rkc]`SW`S AL]`SB`
fKJS\ [dVeFkSY
JkKSrhgiFknSW` Q\]`
AP`S [SrhPrho_O]`SJLL]`S
APB`Ja`^aS UGZTDO]`S
SOH\J`SAP` AL]`
a\kKh_[ S
fK [U
[P eP
AaT^KTfKPlM SehkS
[[h] FJJUN
lSBEjQ \hhR`
fK UWjRPic[Xke[ZTTDDedVe
SkRPa AaF^a`dKTSedPP[oXki
Fk UVOUPZlZNYe
fn^K UNVOi
[ [U
SedVkXrV Sk\dGZONT
SeRkdS\Ej`\Ej\EjX \UpT\hWokS\Ej
[F]DD AJr
\[IKTUVDeh_O]`^P Aa`SW
[LokS Aaa`SW`^KTJkchdXRGZONNnKTUNNBSc
\hRFkRpHGJ[PbeQ``]T fYkXVeL
SedpqJJkKhX_DOHaUVehjg[idW\j\EjeEjQ fpLQ\SQ`
FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq fRPic[P
FJ\] AJ[
UXXVOhFRo fc[KTSOhLb_O[a`SW`SJKTAP`^KTfRGZMP[ZlXke[aRkq[ic[ZNKLb_eP
AKTJkpKT I
$ JkKT
UNX\WMQ okn^a`^P`SJLhhR``]
JkKT $
JkGikikikq[Xkq[ZX FJJJkGZX
UVeFFknSJa`SW` SDDO]`^L]`^TL]h
[WoFkYDkRpTJf AKTSO
UpTJUWGP[Xkq[Xkike[Xkq[i URXFk][i
XDS S
A qA]
ATUVp fcQRXRN
JkGic[Z UXIVkXPZ
UGZOPaq[kP[ JkRPP[
fYDDOLQlmmWW FNJSOhh_Dklmm
A AP`SW`SVJP`^
F\[KTSePi FNJSeFRo
fGP[i JkGTe
\hLokF]DDePb FN\hhhRM```Xb
SDOUNXT FJ\NQTSDT
JQkpP Aa
fK SkK
UV fm
TLUNlXke[ FJJfGaike[
AKTFNJJkG JGjP[aikq[
[W\jeEjrhP\EjYEjrmjq SDeLg\W\_DePlMmjqq
\HT\ Aa`^a`^P
SDO]`S AiKDO[P`SW`S
[Wq [SeEljQ`ocq
FNJQFJJUVDO]`SJKTSe [
U FgN\U
UpH\Ha]`^LHPHJ\hh JkKPbg_FG]To
ic[iPEP fGP[ZlP[P[iPEPEc[ae[ic[Xkq[iP
SOUG UPq[P[
AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTDDeL [WG]`]olG]T
[L \UGHke[keZNKL
\HH\hWMYE SDeSghP\SjYE
AJ[^KTFNJfGP[iPEPEc[Z FJ\hFOhd
FNJ^F_ SOHTJS
MABU fYDD
AC`SW`S \]`^P`S
UNONlXkikikike[ UaG
Jkc q
[e $
[SYEj\E Aa`SWd`SJa`SW`LUpaQ\Pb\jE
Jkpa`Lh UWRPae[ZOPP[aq[ZNK
jUGAic[ fGic[
[RkcQRPP[imc [dPXke[ic
FN\[ SDeLg\Id[\CdPT[\g[iFkc[
[SrhPrho_O]`SJLL]`S AP`S
[LIOrTPTPTPTPT[\ Sk\hj
\[a`^LQX FJkHHJUN
\UNTDDO[P`SW` UkNa`
R SDkRPP[P[
FJ\ $
\HaHa[ \]`^G
AJ[SJKTSk[XGP[ai Aa`^KTJkGaiki
UNXXWcQTVk \`Tr
JZhk_p AJ[SJ
UNOGiPEc[cM\` [h
[d Ua
UWYfe fK
JkKSeEjgm [Lhj
AP`JBSW`S FJ\hh_DkRpH\[L]`S
E [hR``T
fK SOhdXRpHJ[SrhHId[\g[\W\kFkP
GESePlg_S]l UWn^P`SJLhhkWr_]S]n
FJ\]`SJP`SW`^KTF AnP`SJKTU
lSkRpT\[KTf \UXXW
AL]` SOH\J`SAP`
APSW`^KT[LHg[\gPTPTPT[\ [Fj
\]`LHTQmRp FJ\H
