38134
W[PZ ak[SZifiCBpHdgP
aicmiBOjKbRPCp XDdXGBTPqDR
XZDbb XDd
cmnABfiRBXDDKbX g[[DXaaa
TPUhLWhLWhWhLL gP`L
[BBmi Tdfi
GBX R`
cmifrQ pifbnWer___
eVW\VQW AVWpW
cSSSmieVWpWpW\VIW eVWpW\VW
g[]d^hk[SlkkBeVWpWpWoEpW eVWpW
RoOgdfifrm_ TFGBXGfr
AVWp edmpWoW\V
RR R`DbMS
cS TPFq\FGBc
ZO WPG
piBAV cmiBAVko
XGfbn TDXfbn
pifbnWebH XGfbHYbGHcYoHYKH
$ M
G] fiBRRY
FJ]^Gd^Q TFDFD]d^
cmifbnaYerm T[FGfr
fifrp fifFbHYbnWNerp
pifbnerprr_ fifr^_
FWG piBfif
T [dH
$ T[dfRbp
XDO RRYOg
PUhWhLLLLLWhWhLLFWh TPUhLWhLWhWh
W[]ifiBeVWp eV
piBaXATifbm fiBgPG^FGfb
fifrprrprr_ HFLGfrprbYner__prr_
cSSmiBa RGFDdWFDdaCl
gFGBTFGBpifbnWWWWWW HGfbBYin
XY fiBaCD]Og
Od^jRPfSSrfSC piBaGSVoOgdgFGBgDRPSC
a aClOhpO
XDO[ RRYOg[
R ]
gHPUhLLWLLLmhWh^LWhWhWhL gPUh
ei p
RoVQk fiB
\Ng $
FJ]^Gd^Q XGBT]
p GBRkBcm
AVWp g[]d^hk[SlkkBeVWpWpWoEp
XGBak[ lSSH
[BB gdc
Od^hiX aiYX
eV W[]ifiBeVWp
RO gPZIAIA_QAZ
OhF[ ak[SDSD
gd RkP
TNFGfbnebN fifr__prbH
TFDdTdXGBXGBHPG^PUh gHPUhLLWLLLmhWh^LWhWhWhLL
g R`V[]OifiBfigBWFD
XG_^BfiBAW TdeVWoW
n aG]O
H [
R`pOip R`ZGSlgdWf
W[FD \NgT
XGBRkfrp Gfber`qI
piHbRX ak
H fiTH
A eWp`W\VhW\
gLS piBpiBXD
XDPKck gDKckkWW
piBpi fiBHiBTHLdgQ
X pi
gie[BP fiBRoOigP
Oh $
ZY g]hKE
pifr_p f[ifbnebHYr_prr_p
XGBfifObmner XGfr
eVWoWoWpWo edmpWoW\VWo
XGfr__prbnebH p[WfbH
aH TdpiBaK
XDFD[dXGBT[dAVWoW\VWoW heVWpWpW\VW
BVG cSV
piBTdfifrprrprprrpr pifbHY
W[DK cmnABfiRBXDDK
cmiBcV X
XGB R`V[]OifiBfigBWFDd
ZT_ cmiBpiBTd
TFGBOhkfbnebne fifr__pr
XDP ngP
T RoOK
XGBpiBHFDFGfbH HFGfbe
O ]cSSSQdg
fiBTD X
cSVP`` hSVGGTGP``O`
l aGSpOKE
cSiBXGNfbHY pifbHYbne
iBTiBf XDPG^PFqd
lcmiBR`YO TFGBa
pfi fi
cSSSmiBWdfiBfiBR` rM
VNo aCpOCpOFID
cSSSV BVGGG
g]hiXDFD]fjKcWkkW HDKcWWWWW
cj cSVG
AVW\VWo W[]ifiBeV
fifb W[dcmiBdWFGBW[Ffb
fifbnerpr XGqf
RkBcSmiBTPZ cSSSSSmiHPTZ
R`DbMSp RRp
eWp`W\Vh AVW\VWpWo
piBa M
TFGB iBg
g[FGBpiBgPo fiBOj
cSGm Wdf
XDFDPUhLLWhLLWhWhLWhLLLLLLWhLWhL TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR
piBaKNVRpOCVRpOk [D
XDMDKckW HDKHKckkkkkk
AVWpW\ m
Ydpig]j cSmiBT]j
bg[d`g[HPZ XDPZ
pB gd
p $
TFGBa lcmiBR`YO
HDP OhGS
XGq TFGBXG
HFj fi
cSVG mdcVbG
fiBOjKbR g[GBUPhR
` RoOK
aG]O aC
fi f
\ib Od^d^d
XDGK HPG
HFLGfrprbYner__pr fifbHY
T]d^hiXGBHPUhL gHPUhLLWLLLmhWh^LWhWhWh
XGBWFG T_jDpHi
OSh pifbnWW
g[PG R_kCBXDFGDBa`G
p[Wfb gFGfb
pifr_prr_pr XGBfifObmnerpr
TPFqFG [dgfiE
TFDd aClOhpO
f[jfr cSSSmifr__
R` piBA
G] fiBRRY
Tdpifbne cmifrQpr
W[]ifiBeV AVW\VWo
W[PZIAZ R[]OKpS
cSSmiBifr XGfbner
$ RRlCYOK
RR R`DbMS
$ TdXDFGBg
fiBTP RhmOiRRED]
$ TPGjc
gFGf p[Wf
TdW]hG]Og[ gpr
Od^hk`YO DPhDMOV
f[jfr_p Rkfbnerprrprrprrp
ZT_ cmiBpiBTd
T[G^PZ_ fiBg[[]hgPZ_
TD [dHD
fiBgFD] MX`
$ m
MgFDpGISB gFGB
neVW eVWpWpW\VWpWoWpW\VWoWpWoWoWpWpW\VWoWoW\V
g]hiXDFD]fjKcWkk HDKcWWWW
Ofhk` RRp
piBcimPa`` cSVGP
l aGSpOKE
HdR RGFDdWFDdaClk
XDP D
f[jf XGf
XG XGq
mkm XD]hk
Wd m
OhgPUhWh agP^PUo
A heVWpWpW\VW\
XGfrp XGfr_prbnWerprpH
XDdeV pBTFGBAVW\VW\VW\VWo
RRlCTOkkfr_prr HFLGfrprbYner_
c\SS piBc
iBpiBpiBXD[ g
g]hiXDFD]fjKcWk gDKck
R[SKOc W]h
TPUhL WPG^gFDFBHPUhhLL`
XDMD T]j
T[G^ fiBg[[]hg
gdH[[PFqFGfr TdXmifbner
T [dH
XDMD T]j
Sci c
g] OI
H]hKqicSm jD
ei p
RG piBa
XGBG RRD
H] fiTH]
fifrprbnebnebncWWW fifbn
TPUhLWhLWh PUhWhLLLLLWhWhLLF
f[ifbnebHYr_prr pifr_
T[P ngP
piBak`TOCDSV CDdR
G fi
M piBa
AV eVlWQV
piBH[PGj R_kCBXDFGDBa`Gj
W]j FDD
aci]PZ^ aCYOgPZ
eVWboWo_ AVWpWpW
Od Hd^jeaa
gHPUhLLWLLLmhWh^LWhWhWhLL fiBTPUh
W[ $
fifrprbnebnebncWWW fifbn
T]jRPffSSC Od^jRPfSSrfSC
SDD gPFq
fiBiBR[ R[
AVWpW eVlWQVW
aA`Wo W[deVWoW\VWoWpWp
OjK mUgWoW
eVWpWpWpW YVW
gPF C
R_kCBXDFGDBa`Gj piBH[PGj
HdTDKbK qDe
piBTdfifrprrprprrprrp fifrp
p[WfbH XDdfiBpifrprbHYbH
cSSVGP`` cSSSVGUP`
TFDFDD XDFGBIgD
$ TPF
WFDFG fiBHiBTHLdgQ
\NgT g]d^hiH
gdOj [FDKHC
W]hG] cmiBd^d^d^hCp
gFDPGBEPX TD[haaa
HFj cSmi
O aL]
YfiBf TFDdp
fi fiBAGC
TPFq\FGBcVP```` HdpiBcVGP`
XGBpi pW
h fiBaG]O
cmifrQ pifbnWer___
pifbnerr pifr_prbne
AVWoW eVW\VWi
fiR`fiR`IlKEVC H[]d^hk`lC
fiT $
XDPG^P XDDFGJBgP
XDdH gj
fifrprbH XfPbH
gprP TdW]hG]Og[P
XGBH[dXGB fhBS]d
R`V[]OifiBfigBWFDd XGB
gprP TFGBTP
$ \Ng
cj cSVG
W[dpiBcmiBpi HFD[F
$ cm
Hg[VPUhLW`LLLWhLLLWhLWhhLhW HFDPUhW
OjRPSSfS g[GBUPhRPS
XGBf R`ZDOKqicSmiBp
TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR XDFDPUhLLWhLLWhWhLWhLLLLLLWhLWhL
XBH]h ai
piBe eVlWQ
XGBoR` RR
] g]
H gFGBT[FT[[
Hg[VPUhLW`LLLWhLLLWhLWhhLh HFDPUh
WFGfb piBaXATifbm
fifbnerp dfiXr_prrD_p
c\ R[]Ok[SYOCVkBcS
eVlWQ piBe
gPZIAIA TZIf
XaBak WFD]hKTlk
T $
$ fiT
gFSD W
W[dRkBOd^hi miBgFGBj
RRlCTOkkfr_prr_prr HFLGfrprbYner__prr
fiBRRY G]
OdBSP cSmiBO
lcmiBR`YO TFGBa
WFGBrRRI HPFq]jRZ
RR XGBoR`
fi fiBAGC
g cmiBpiBHdYW
W kBT
IOh RkBR[STO
Ydpi cSmiBOh
R[]Ok[SYOCVkBcS c\
gFG fOBRk
gP gprP
HDKH WF
aDGSYOkR aiOhGS
pifr_prr_ WFGfWr_
XD[]d^hF aXF
aicSS o
g]d^hiWFDPG^ XDL
TFDFDDR XDFGBIgDR
eWp`W\Vh AVW\VWpWo
AVZW eVWoW
p DHc
eWoWffoW\Vrp eV
T]jKc HFD]QjKckWWW
WdXGfrprbHYr_ EgFrDdRkL
p R`V[]OifiBfigBWFDdf
piBH[]h $
D Hde
aHF R`TOF
HdR RGFDdWFDdaClk
fiBOd^ OdBSP
n aG]O
T]jK TFDDKH
c`miBXDDK HdTDKbK
gFDPGBE gFSDP
gnTG^ XDdg
pifbnerprr fifr^
fifrIKpS cmifrprr_prrp
eVWboWo_\V AVWpWpW\V
iPV HDKHKckkkkkk
lcmiBR`YO TFGBa
T]jK TFDDKH
gPZIAIA TZIf
cSmi f
c`miBXDD XD[PP
fipb gFGfbHYb
$ RRlCYOK
PUhWhLLLLLWhWhLLF fiBgPUhLLWhWhLLLLWhWhWhLLLLLLL
fiB RoVQk
$ XD[FD
fiWBT_TH Oj
gHPUhLLWLLLmhWh^LWhWhWhL gPUh
W[]hK OKql
XGBOd^d fiB\Od
TDXfbn fifbnWebnWW
GBRkBcm p
pif fiUfrpr
AW W[deVWoW\VWoWpW
RRlCTOkkfr_prr_ HFLGfrprbYner__
WdgPG^FGBcS $
iBpiBe eVWpWoW
fifr__prbH TNFGfbnebN
fi gXG
XGBGS HdaC
HSgq[ piBXGBW
aip cSGm
pifr f[ifbnebHYr_prr
HPZ T[G^PZ
XZDbbRo R`VRY
XDdXGBTPq T
g[GBUPhRPSC fiBOjKbRPSC
gFD TT
XGBG RRD
WdgPG^FGBcSV cVGGN
T[G^P fiBg[[]hgP
fiB RoVQk
H[]d^hk`l fiR`fiR`IlKEV
aGS OR`
fiBXGfbnW H`GBfifr__prbnW
W]d^jKHKH Z[PGM^D
R` R
fiBpdfanc XGfrprbHY
AVZ HFGBeV
TFDDKH W]d^jKHK
aKTT R
$ XGBfiBg
XGfr_ fifr^
n aG]O
XDFGBpifr__prr WFUGfrQh
HPZ_Q kF
T]jRPffSS Od^jRPfSSrfS
RRVRVoOkkfrprr_p fifrIKpSrr_p
pBTFGBAVW\VW\VW\ fiBA
T]d fip
[d fiB
RLYO a
HDKH WF
WFGfWr fifr_
fiR`fiR`IlKEV H[]d^hk`l
XGBXGBW[DKcWeg OjKckWWkk
cm YfiBf
[FDKHC TFDD
fiBRkfb R`ZGSlgdWfifb
V[Ig agdHPGBEG
RRp Ofhk`
g XWDB
OR` aGS
pifbnWer___ cmifrQ
WdT WqdW
cDSpmiB TFGB
ak[SZifiCBpHdgP WFGBfiBXDPZ
fifbHYbn _kfb
bWSG^d $
TNFGfbnebN fifbH
fiBAVWW\ eVW\VW
H] OdBSP
aKES akOKFZjGGGO
g Od
T_jDpH aig[dcm
eWoiW eVWpW\VWpW
aiYX agF
bTOdY W]d
XD] Ydpig]
WDKkWkO[ gPG^DKckkkWW
fiBOhg]hd^hgFDdO T]
T bWSG^dT
XD lg[
$ H
HFDPG WPq
f GBRkBcm
qpnQ cSm
aA` WdAV
fiB _R`
XGBg]d^hkkf GBRkBcmif
XGfr__prbneb pifbJ
R OhKq
gdH[[PFqFGf TdXmifbne
fUBg[ g[dfiBWdT
agP^PUo OhgPUhWh
rEhgd ai
RRlCTOkkfr_prr_p HFLGfrprbYner__p
iBg TFGB
piB cmiBpiBHdY
RoOgdfifrm cmifr
R`ZGSlgdWfifbn WFGfbn
H[]d^jXaaaaaaaa fiBiOT
T]jKc XDMDKc
G]O fiBRRYO
AVW\VWpWo eWp`W\Vh
gpr TFGBT
fifrprbnebnebncWWWer T[FGfr
PGej g]
TYac cSS
cVG TccSV
fiBRRYO G]O
WDKHKbK HP_Gj
aGS OR`
S T
R[]Ok[SYOCVkBcSSS c\SS
g[dfiBWdT fUBg[
RRlCYO R`UT\O
mdcVb cSV
WFR HDKHR
bg[d`g[H XD
a RLYO
UH] ai
OhKEVk k
VfbiBP piBaG]
g]h SP
WFR HDKHR
HSgq[ H
fifFbHYbnWNer akkfr
fifFbHYbnWNerp cSmifrprrp
ngPZ WPFqdfiBgPZIA
RoOK HL
iBpiBpiBXD[ g
aL T[
Hdfi jDi
fiBHiBTHLdgQ cSSmi
WdagPG^dR`YOG] R`DbMSp
R`pOip R`ZGSlgdWf
WFGBc]iBUe A
XDO piBg
fiBA pfiBA
fiBAV pBTFGBAVW\VW\VW\V
HFGB c
piBRkBWdg gFGBT[FT[[
aH W]hK
HGfbBYi TFGBfiBpifb
R[ lcmiBR`YOG
RkBcSmiBTP aWXP
gnTG^ WFGBfiBXD
cmiBAVkoW piBAVW
XDdg gnTG^
OT piBWFD
cmiBpiBHdY piB
pifbHYrpr YdW[qGf
gHPUhLLWLLLmhWh^LWhWhWhLLW gPU
XD RkBXGBHFGB
fifb W[dcmiBdWFGBW[Ffb
_R` $
HDKcWWWW g]hiXDFD]fjKcWkk
fiBXGfbn H`GBfifr__prbn
cmifrQ pifbnWer___
[d fiB
f[ifbnebHYr_prr pifr
Tdg XDSP
] R
W[dcmiBdWFGBW[Ff fif
eVW\VQWpW XDdeVW
UH] ai
HPUhWhLLWhLWhLWhL gP`
pfiB fiB
T_jDpH p
fiBX XGX
H`GBfifr__prbn gFGBTFGBpifbnWWWWW
aKEVk HdfiBRM
$ fiT
piBA RkBXD]hk`
MgFDpGIS gFG
YfiBfif fifbnWebnWWe
$ Y
EaC RoOKT
h Wd
f[ifbnebHYr_prr pifr
eVW edmpWoW
XGB R`V[]OifiBfigBWFDd
eVW\VW edmpW
cmifbnaYermp fifbnerp
R[]OCD RRq
TPFq\FGBc cS
XGfbHYbGHcYoHYK XGBpiBHFDFGfb
Od^hk`YO DPhDMOV
IPeZJIAlSfA XD[[PZ
XDP WqdWP
XGfr__ XGBfifObmner
XGBpiBHFDFGfb XGfbHYbGHcYoHYK
XDcV RkBXGBHFGBcV
EgFrDdRkL fifrprbner
mVWWoq\ A
H XE
R`V[]OifiBfigBWFDd gd
DPUhI TPUhLWhL
TdWdAVWf\J eVWoW\
UifBDJ pif
R[[ aig]d^hK
XDdgP gnTG^P
XD] Ydpig]
W[FD $
HdXGfrprr cmniaM
cSSmiBa IOh
fiBOjKb g[GBUPh
fib TFGfrprrprbHYrprbneb
cm cDSpm
mkmR aC
T \NgT
HPFq] FJ]^Gd^Q
RRVRVoOkkfrprr fifrIKpSrr
cm YfiBf
edmp eVW\V
R`pOip R`ZGSlgdWf
a gVOh
PP T]d^j
fiBaG] WdRX
m piB
T[d eZV
Wdpif TFDFQfbEnY
ATMUDb TFDDK
gj W
XD[ gie[B
XGfr_prp XGfb
g]hiXDFD]fjKcWkkW HDKcWWWWW
XaBak WFD]hKTlk
HFDPU Hg[VPUhLW`LLLWhLLLWhLWhhL
RRp R`DbMSp
Od^hiXG RLYOkk
AVW\VWpWoW eWp`W\VhW
TDXfbn fifbnWebnWW
pifbnWer___p cmifrQp
XGB O
RRpO gVOh
cmiBAVko piBAV
$ Y
XDFD[dXGBT[dAVWoW\VWo heVWpWpW\V
T $
heVWpWpW\VW\VW eVW
AVW\VWpWoW eWp`W\VhW
W[PP fEIHR`
fifbn fifrprbnebnebncWWW
lGZMB OjR
AVW\VWpWoW eVW\VWipW
R`ZGSlgdWfifb WFGfb
Ohg[[[FGBHPG MO
pJBpD piBT]h
piBA R`
YdW[qG H]hKqicSmi
XGBXGBW[DKcWeg gDKckkkk
XGBpiBHFDFGfb XGfbHYbGHcYoHYK
heVWpWpW\VW\V XDFD[dXGBT[dAVWoW\VWoW\V
R[]Ok[SYOCVkBcSS c\S
ifr fiBWFGfr
iBTdfBVL XDFD[dXGBT[dAVWoW\VWoW\VWo
WDKkWkO[ gPG^DKckkkWW
W XGBGB
c`miBXDD XD[PP
gXG fi
ei p
XG_^BfiBAWoW eVWoW
pifbJ XGfr__prbneb
XE WPFq
pifbnWer___p cmifrQp
IeVWpW AVW\VW
fifr__prbHYrp [kmfrp
g]d^jKb g[FGBpiBgPoKb
pifr f[ifbnebHYr_prr
eVW\VQW eVWoWoWpWpWpW
RoO gVOh
RRoBODkeOk[]OG Od^hk`YOG
YfiBf cm
eVWpWoW eVlWQVW
pifbnW fiQbnWbWWnWW
HPUhWhLLWhLWhLWhL Hg[VPUhLW`LLLWhLLLWhLWhhLhWh
WP doOd
Wd eT
cmDfbneb XGfb
fiBiOTaa WFD]jX
pif f[ifbnebHYr_pr
piBfiBfifbH cSmifbnWOb^
[DPUh OjKckWWkk
ngPZ aCYOgPZ
WFDFGBgF aiYX
cSSSSSmiHPT RkBcSmiBTP
e heVWpWpW\VW\
fiBXGfbnW H`GBfifr__prbnW
fiBeVW\VW cSSSmieVWpWpW\VIW
eVW\VW edmpW
cmifr RoOgdfifrm
R`V`l aX
piB cmiBpiBHdY
k OhKEVk
eVWpWpW eWoWffoW\VrpW
gdic XG
Rm g]hCZ
f XD[PPKcW
TFGBT gpr
pif XGfbnerprr_
g[GBUPhRPS OjRPSCpP
ai XG
TFDFD XDFGBIg
pifbnerrrp g[FDFGfrprrp
W[ gnTG^
RoOK ^VHP``
W[PZ_ piOBnPZ_[]
piB OR[ZOnd
cmifrprr_prrprr fifrIKpSrr
ficl fif
OhiOd^d fiB\Od
$ m
fiB\O XGBOd^
fiBgfiM H[[FGf
$ P
aiY gd
TFDFD XDFGBIg
KDV XGBak[
piBTdfifrprrprprrprr pifbHYr
cmifrprr_prrpr fifrIKpSr
gP H[PC
piBaGSVoOgdgFGBgDRP Od^jRPfSSrf
fi i
AVWpW mVW
c\ R[]Ok[SYOCVkBcS
R`ZDOKqicSmiBpi H[[FG
TD TFUDIPe
R[]Ok[SYOCVkBcS c\
A eVW_
R\ID g[dOhk`YOFID
Ya a
TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR XDFDPUhLLWhLLWhWhLWhLLLLLLWhLWhL
eWp`W\VhW\VWp fiBeV
Sci c
Z[PGM^DR TDKbR
OjRPSCpP g[GBUPhRPS
WdRX RRp
cmifr_prrprrprrp HFjfrp
piBak`TOCDSV iBKR
gDKckkWW g]hiXDFD]fjKcWkkWW
WdXDFGf XGfr_prbnWerprpHr
aX OhCYO
aA` eVWp
piBAV cmiBAVko
cDSpmi pi
SDD gPFq
piBgdgF XGX
piBHd iBTiBf
R_kCBXDFGDBa`Gjc g[PGjc
pifbHYbn fibn
aiOhk W[PFD[dR
XDFGBIgD TFDFDD
fi p
fiBXD XDSP
AVOWS AVW
akOKFZjGGGOo fiBXD[FG
HPGB HPGI
AVWoW cSSSmieVWpWpW\VIWpW
MgFDpGIS gFG
g]hKE ZY
r $
W[dRkBOd^hi miBgFGBj
H[D $
A ii_DdA
piHbRX ak
AVWp_c AVWpW\V
$ OhKEV
fiBW[[PZI IPeZJIAlSf
g[] fiB\O
fiB\O OhiOd^
m AVWpW\
f[jfr XGfr
W[dcmiBdWFGBW[Ffb fifb
XGfr_ WFGfWr
dfiXr_prrD XGfr
AVWp eWoWIo
RoOK `
[km aGSV[SZOgFG
fiBeVW\VWpW cSSSmieVWpWpW\VIWpW
cSmiBOh Ydpi
cSSSmieVWpWpW\VIW eVWpW
fiBg[[]hgPZ_ T[G^PZ_
IPeZJIAlSfA g[PZ
HFD lg[
aipifrprr_ TFDFQfbEnYr
gFGBOjKbKHK egbDKc
HFLGfrprbYner__prr RRlCTOkkfr_prr_prr
GBT TFGBH[
fifbH W[dcmiBdWFGBW[FfbH
HFDPFq[[dT[PG R_kCBXDFGDBa`G
gFDPGBE gFSDP
]Rp W]hG]
cSSmif cSiBXGNfbHY
gPG^DKckkkWW WDKkWkO[
akOKFZjGGGOo XDFGBcmiBpiBWFG
Od^jRPfSSrfS HPPRP
gPUhWhLLWhL TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR
AVW\VWpWo eWp`W\Vh
nRTOiUiBk c
WdXaF g[FDFDFG
FD T
R[SZ aG
XGfr_prbnWerprpH XGfrp
g[GBUPh fiBOjKb
gFGBTFGBpifbnWWWWWW H`GBfifr__prbnW
cSmiBRkBOd bTOdY
m $
cSSSmieVWpWpW\VI eVWp
g[FDFGfrprrpr pifB
akkfrp ifrp
cmSkB XGfrprrprrprrp
T[FGf fifrprbnebnebncWWWe
XDdXGBTPqD TD
R`DbMSpO RoO
W[dcmiBdWFGBW[Ff fif
pif pifr
WFD]hKTlk[ XaBak[
XD[DGfKbnReg agdfifbnWebHYbner_
fifbnerp pifrprir_p
TT g
gHPUhLLWLLLmhWh^LWhWhWhLLW TFDdTdXGBXGBHPG^PUhW
fiB]pBHFGf] HFGfr_
Oh RCRN
fiB RoVQk
PSPIk aGS
RR Wi
cmiBd^d^d^hC RR
cSSmiBocSSVG cSV
fifrprr HFLGfrprbYner__
H[] Odj
XGBRk cMmi
gd R`V[]OifiBfigBWFDd
gP P
ZY g]hKE
XD[PPK qDe
XDSP cmiBg[[
M H[d
cMm Hdf
XDd XZDbb
R_kCBXDFGDBa`Gjc TPGjc
XGfr_ fifr^
PT RRpOG
gFDFG piBaiXRk
R`ZGSlgdWfif fiBXGfbHYrpr
R[SYOGSTO OhCV[S
aipifrpr pifrprir_pr
iff cSmifbnWe
RRq R`D
c`miBXDDKcW TDKbKckWW
fiBHDK [dHDK
p c\SSSm
l $
pifrprir_ aipifr
RkP gd
[ii fifr
XDFD[dXGBT[dAVWoW\VWo heVWpWpW\V
HDKcWWWWW g]hiXDFD]fjKcWkkW
cmiBOhCZOgdR`ZO H
H[D $
HFD WdiBpijXGBlH[FD[
A eVW\P
T pkiBpiBTr
WFGBfiBXDP gnTG^P
O Odj
R`V[]OifiBfigBWFDdfifr XGfbnerprr___
WFGBr WdpiB
R[]Ok[SYOCVkBcSS c\S
XDPUh gprPUh
RoO cSmiBcm
TFDDKH W]d^jKHK
gdfifrp XGfr_prbnWerprpH
D]jRPfpPSSSf RkBR[STO
WDKkWkO[WW XD[PPKc
cSSSVGU cSVG
OI g]
RRpOipi RoOKqUkk
XWDB[ HFD
G] fiBRRY
[dH HdH
TdWdAVWf\JVW HdRkBAVWoW
RRVRVoOkkfrprr_prb KiXpf
GXGf pifrprbHYbHYrprrpr
HPUhWhLLWhLWhLWh agP^PUoL
T]hK mn
eVW\VW edmpW
XD[DGfKbnReg_p g[FDFGfrp
cSSSmieVWpWpW\VIW eVWpW\VW
TPU PUhWhLLLLLWhWhLLFW
HdH [dH
aipifr pifrprir_
$ \Ng
gP` HFDPUhL
piBaGSVoOgdgFGBgDRP Od^jRPfSSrf
DHc p
TFDFGBgFqdT g
aWXPZ WdH]higPZ
XDGKB HPGB
heVWpWpW\VW\VW AVW
` XG
WFGfWr_pr XGfr__pr
gVOh RoO
HdXGfrprr_ kXV
pifbn fiQbnWbWWnW
cf gFGBXD[FGBTdcS
AV TdeVWoWoW
gFG MgFDpGIS
gPUhLW gHPUhLLWLLLmhWh^LWhWhWhLLW
pifbn fiQbnWbWWnW
aKM R`YO
R`ZGSlgdWf R`pOip
aDGSYOkRZO piBOhk`pO
fiBiB $
akkBeWpW AVWpW
AVWpWpWoW XG_^BfiBAW
Z H[FGBXDd
mdcVb cSV
HDKH WF
TP D
AW eVWpWpWpW
G fi
Tdpifbner_ EgFrDdRkL
Rkfr_ RoOgdfifrm
R`Y [D
piB iBTiBf
H gFGBT[FT[[
jHGfb cVGG
TPPQKb XDPG^PP
\ HdcSSV
TdAV eVWBVWoQWo
cS SciS
cSmiBOhg] piB]G
T] HPPFqdO
h HdT]h
gXG fi
WdgFD aL
Od^hCD] [D
bWSG^dT T
AVW\VWpW MVp
W[DK cmnABfiRBXDDK
AVLoW\ AVW\V
aipifrpr XGqf
c nRTOiUiBk
Xa agF
p c\SSSm
RkBXGBHFGBcV mdcVbG
WDKkWkO[W gPG^DKckkkWWW
[D Od^hCD]
Z Hd
R[SpOC R
SPfK gdOjK
pifbHYrp piBTdfifrprrprprrprrp
GBRkBcmifr TFGBpifr__prbnWebnWerprr
cSSm cDSpm
$ T
mn fiBOhK
fiBiOTaa WdH[FD]jX
XGq XG
agdfifbnWebHYbner__ cSSEifr_prbHYr_V
aiH[FDFG `
ffr XGfr__
WFDFGBg WdiBpijXGBlH[FD[
aKM a
T]hiQifbHY T[dgdfifrpr
pBTFGBAVW\VW\VW\V eVWp
g Od
cDSpmi pi
eVWpWpWpW\VW V]
WdpiBH g]X
XD RkBXGBHFGB
XZDbbR RoOk
piBH[F F
gd ]cSmiBBOhi
\DHhoNU TFDDKH
eVWboWo_\ AVWpWpW\
eWp`W\VhW\VW AVWpWpW
TDXfb XGfb
c nRTOiUiBk
$ Y
TdaCYOkRVoOKE R`lCl
XDO[ piBg[
TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR XDFDPUhLLWhLLWhWhLWhLLLLLLWhLWhL
fifbn fifrprbnebnebncWWW
eVlWQVWo AVWo
WDKkWkO[WWW gDKc
VGGG cSSV
Od^hk`YO DPhDMOV
OR` RR
GGgdcmBH[iK gDKHK
TdXmifbnerpr gdH[[PFqFGfrpr
TdWPFqd H[[]d^hKNTn
eVW\VW edmpW
H]I g[PFqdWPFqPFq]
g[[dTP HPq[[[o
T HcmB
eVWo heVWpWpW\VW\V
TFDdH[PG^[] cmiBd^d^d^
lg[ g[[dT
cmiBpiBTdg C[
AVWpW\ m
H fiTH
XDPKck g[DKc
fiBOj TDK
HFLGfrprbYner_ RRlCTOkkfr_prr
PQ_D XDdgPZ_
WFR HDKHR
jC T
cSmiBOh Ydpi
eVW\VWi AVW
fiB]pBHFGf] HFGfr_
XGBf R`V[]OifiBfigBWFDdf
Hg[VPUhLW`LLLWhLLLWhLWhhLh TPUhL
WD XDDFGJBgPP
Hd [d
R` R
fUBg[d g[dfiBWdTd
YdW[q TPFqF
eVWpW\VWpW TdWdAVWf\JVW
cmiBT fiBHFD[FDCD
c Sci
cSSmiBocSSVGP fiBpiBcVP
aC fiBRoO
AVW\VW IeVWpW
eVlWQVW AVWpWpWoW
eWoWffoW\Vr eVWoWpW
HdT] $
aCD DR`[
fifbnerp cmifbnaYermp
gPF k
T HFLDrT
gprPU XDPU
R ]
C RoOKT
H]d fiTH]d
T]j XDMD
WPUhLLLLLWh Hg[VPUhLW`LLLWhLLLWhLWhhLh
c`miBXDDK XD[PPK
RGFDdWFDdaCl cSSmiBa
$ piBH[
GBRkBcmif pif
XDFGBHD WdOd^ki
$ XDFGBcmiBpiBWFG
DSZEN cSSSVG
_R` $
lcmiBR`YO TFGBa
foc cmiBfi
Y XGBe
[ H
XG `
Ofhk` OhG]
TDPnd Od^jX
eVWpW eWoWffoW\Vr
R[SYOGSTO H[]d^hk`lC
XDPG^PFqd iBTiBf
cSSEifr_prbHYr_V agdfifbnWebHYbner__
pifbn fiQbnWbWWnW
WFDFGBg WdiBpijXGBlH[FD[
WF HDKH
WPUhLLLLLWhWhL agP^PUoLLL
fifrIKpS cmifrprr_prrp
piBTPFq $
WDKkWkO[W XDDKc
R`V[]OifiBfigBWFDd gd
fifbner pifrprir_
$ fiT
aiTFGB Z
cmiBpiBa XGBoR`l
HF\VD fiBWD
TFGBXG XGq
XGf TFGBOhkfbne
H[D piB[j
XGBe Y
Q XG
W[]ifiBeVW AVW\VWoW
pifbHYbn fibn
XDMDKc T]jKc
cmi YfiBfi
cmif TFDFQfbEnY
piBT[ gie[B
W[DK cmnABfiRBXDDK
WFGfW pifr_pr
GXG R`V`DSVk
aG]O n
gPUh gHPUhLLWLLLmhWh^LWhWhWhL
fiBWFGf fifFbHYbnWNe
e fiBHiBTHLdgQBA
fifrprbnebnebncWWWe fifbne
RoOigPF $
XGfr_ fifr^
